id,label,comment,domains,ranges
openingHoursSpecification,Opening Hours Specification,The opening hours of a certain place.,Place,OpeningHoursSpecification
code,Code,"A medical code for the entity, taken from a controlled vocabulary or ontology such as ICD-9, DiseasesDB, MeSH, SNOMED-CT, RxNorm, etc.",MedicalEntity,MedicalCode
founder,Founder,A person who founded this organization.,Organization,Person
reviewBody,Review Body,The actual body of the review,Review,Text
toLocation,To Location,A sub property of location. The final location of the object or the agent after the action.,InsertAction TransferAction ExerciseAction MoveAction,Place Number
deliveryLeadTime,Delivery Lead Time,The typical delay between the receipt of the order and the goods leaving the warehouse.,Offer Demand,QuantitativeValue
datePublished,Date Published,Date of first broadcast/publication.,CreativeWork,Date
processorRequirements,Processor Requirements,Processor architecture required to run the application (e.g. IA64).,SoftwareApplication,Text
accountablePerson,Accountable Person,Specifies the Person that is legally accountable for the CreativeWork.,CreativeWork,Person
itemShipped,Item Shipped,Item(s) being shipped.,ParcelDelivery,Product
carrierRequirements,Carrier Requirements,Specifies specific carrier(s) requirements for the application (e.g. an application may only work on a specific carrier network).,MobileApplication,Text
regionDrained,Region Drained,The anatomical or organ system drained by this vessel; generally refers to a specific part of an organ.,LymphaticVessel Vein,AnatomicalSystem AnatomicalStructure
query,Query,A sub property of instrument. The query used on this action.,SearchAction,Class Text
children,Children,A child of the person.,Person,Person
interactingDrug,Interacting Drug,Another drug that is known to interact with this drug in a way that impacts the effect of this drug or causes a risk to the patient. Note: disease interactions are typically captured as contraindications.,Drug,Drug
countriesNotSupported,Countries Not Supported,Countries for which the application is not supported. You can also provide the two-letter ISO 3166-1 alpha-2 country code.,SoftwareApplication,Text
partOfEpisode,Part of Episode,The episode to which this clip belongs.,Clip,Episode
representativeOfPage,Representative of Page,Indicates whether this image is representative of the content of the page.,ImageObject,Boolean
proprietaryName,Proprietary Name,"Proprietary name given to the diet plan, typically by its originator or creator.",Diet,Text
eligibleCustomerType,Eligible Customer Type,The type(s) of customers for which the given offer is valid.,Offer Demand,BusinessEntityType
siblings,Siblings,"A sibling of the person (legacy spelling; see singular form, sibling).",Person,Person
medicalSpecialty,Medical Specialty,A medical specialty of the provider.,Physician Hospital MedicalClinic,MedicalSpecialty
merchant,Merchant,The party taking the order (e.g. Amazon.com is a merchant for many sellers).,Order,Organization Person
availableAtOrFrom,Available At or From,The place(s) from which the offer can be obtained (e.g. store locations).,Offer Demand,Place
mpn,Mpn,"The Manufacturer Part Number (MPN) of the product, or the product to which the offer refers.",Product Offer Demand,Text
superEvent,Super Event,"An event that this event is a part of. For example, a collection of individual music performances might each have a music festival as their superEvent.",Event,Event
evidenceOrigin,Evidence Origin,"Source of the data used to formulate the guidance, e.g. RCT, consensus opinion, etc.",MedicalGuideline,Text
sportsActivityLocation,Sports Activity Location,A sub property of location. The sports activity location where this action occurred.,ExerciseAction,SportsActivityLocation
eligibleQuantity,Eligible Quantity,The interval and unit of measurement of ordering quantities for which the offer or price specification is valid. This allows e.g. specifying that a certain freight charge is valid only for a certain quantity.,Demand PriceSpecification Offer,QuantitativeValue
availableTest,Available Test,A diagnostic test or procedure offered by this lab.,DiagnosticLab,MedicalTest
guidelineSubject,Guideline Subject,"The medical conditions, treatments, etc. that are the subject of the guideline.",MedicalGuideline,MedicalEntity
reviewRating,Review Rating,"The rating given in this review. Note that reviews can themselves be rated. The <code>reviewRating</code> applies to rating given by the review. The <code>aggregateRating</code> property applies to the review itself, as a creative work.",Review,Rating
normalRange,Normal Range,"Range of acceptable values for a typical patient, when applicable.",MedicalTest,Text
priceCurrency,Price Currency,"The currency (in 3-letter ISO 4217 format) of the offer price or a price component, when attached to PriceSpecification and its subtypes.",PriceSpecification Offer,Text
skills,Skills,Skills required to fulfill this role.,JobPosting,Text
gender,Gender,Gender of the person.,Person,Text
educationalFramework,Educational Framework,The framework to which the resource being described is aligned.,AlignmentObject,Text
recipeYield,Recipe Yield,"The quantity produced by the recipe (for example, number of people served, number of servings, etc).",Recipe,Text
maximumIntake,Maximum Intake,Recommended intake of this supplement for a given population as defined by a specific recommending authority.,DietarySupplement,MaximumDoseSchedule
subEvents,Sub Events,"Events that are a part of this event. For example, a conference event includes many presentations, each are subEvents of the conference (legacy spelling; see singular form, subEvent).",Event,Event
advanceBookingRequirement,Advance Booking Requirement,The amount of time that is required between accepting the offer and the actual usage of the resource or service.,Offer Demand,QuantitativeValue
study,Study,A medical study or trial related to this entity.,MedicalEntity,MedicalStudy
paymentAccepted,Payment Accepted,"Cash, credit card, etc.",LocalBusiness,Text
givenName,Given Name,"Given name. In the U.S., the first name of a Person. This can be used along with familyName instead of the Name property.",Person,Text
copyrightYear,Copyright Year,The year during which the claimed copyright for the CreativeWork was first asserted.,CreativeWork,Number
installUrl,Install Url,"URL at which the app may be installed, if different from the URL of the item.",SoftwareApplication,URL
availableThrough,Available Through,"After this date, the item will no longer be available for pickup.",DeliveryEvent,DateTime
restPeriods,Rest Periods,How often one should break from the activity.,ExercisePlan,Text
affiliation,Affiliation,"An organization that this person is affiliated with. For example, a school/university, a club, or a team.",Person,Organization
availableIn,Available in,The location in which the strength is available.,DrugStrength,AdministrativeArea
video,Video,An embedded video object.,CreativeWork,VideoObject
value,Value,The value of the product characteristic.,QuantitativeValue,Number
insertion,Insertion,"The place of attachment of a muscle, or what the muscle moves.",Muscle,AnatomicalStructure
suggestedMaxAge,Suggested Max Age,Maximal age recommended for viewing content,PeopleAudience,Number
legalStatus,Legal Status,"The drug or supplement's legal status, including any controlled substance schedules that apply.",DietarySupplement Drug,DrugLegalStatus
issuedThrough,Issued Through,The service through with the permit was granted.,Permit,Service
honorificSuffix,Honorific Suffix,An honorific suffix preceding a Person's name such as M.D. /PhD/MSCSW.,Person,Text
applicationSuite,Application Suite,The name of the application suite to which the application belongs (e.g. Excel belongs to Office),SoftwareApplication,Text
availableFrom,Available From,"When the item is available for pickup from the store, locker, etc.",DeliveryEvent,DateTime
childMinAge,Child Min Age,Minimal age of the child,ParentAudience,Number
productionCompany,Production Company,"The production company or studio that made the movie, tv/radio series, season, or episode, or media object.",Movie MediaObject Season Episode Series,Organization
signOrSymptom,Sign or Symptom,A sign or symptom of this condition. Signs are objective or physically observable manifestations of the medical condition while symptoms are the subjective experienceof the medical condition.,MedicalCondition,MedicalSignOrSymptom
circle,Circle,A circle is the circular region of a specified radius centered at a specified latitude and longitude. A circle is expressed as a pair followed by a radius in meters.,GeoShape,Text
version,Version,The version of the CreativeWork embodied by a specified resource.,CreativeWork,Number
relatedCondition,Related Condition,A medical condition associated with this anatomy.,SuperficialAnatomy AnatomicalSystem AnatomicalStructure,MedicalCondition
eligibleDuration,Eligible Duration,The duration for which the given offer is valid.,Offer Demand,QuantitativeValue
seeks,Seeks,A pointer to products or services sought by the organization or person (demand).,Person Organization,Demand
